student_id,topic_id,mean hesitation,std hesitation,mean conf,std conf,grammar point,words,unique word (%),% rare words,have transcript,IELTS speaking score,,
93,18,0.1256929619,0.2418478367,0.9069362898,0.1666195688,,2,,,,60,too short,
93,5,0.1425510757,0.2609087934,0.9578894408,0.1197008991,95,356,46,23,,60,,
93,1,0.1136481346,0.2212393819,0.9582304005,0.1211218368,98,251,48,18,,60,,
93,20,0.1593299849,0.2894019376,0.9529021325,0.1326191509,99,204,57,18,,60,,
94,14,0.1725774494,0.4876119821,0.9572865817,0.1181801935,91,605,47,18,,60,,
94,12,0.2303228362,0.6114681213,0.9618889766,0.1131344401,94,437,49,24,,60,,
94,3,0.1782678356,0.5127878639,0.9632014263,0.1064323841,100,800,42,29,,60,,
94,18,0.14887985,0.4556036818,0.9608358091,0.1155260265,100,433,48,27,,60,,
94,5,0.1813839399,0.5420730085,0.9420060294,0.1385963424,100,773,46,34,,60,,
94,13,0.1520432787,0.5137388893,0.9540262415,0.1203044974,100,394,58,29,,60,,
94,1,0.1295758547,0.3875927339,0.9532085483,0.124742203,100,392,47,23,,60,,
96,14,0.1480233588,0.4032566436,0.9444133118,0.1363571462,99,231,58,16,,60,,
96,12,0.2271046942,0.4658406743,0.9424169756,0.1410240918,100,445,48,21,,60,,
96,3,0.1747720749,0.4683474853,0.9511252992,0.127186215,100,457,46,27,,60,,
96,15,0.2162320324,0.4361873807,0.1314692747,0.1314692747,88,152,73,31,,60,,
96,15,0.1221884646,0.2850483751,0.9580058945,0.128501039,72,143,66,27,,60,,
96,5,0.1659072149,0.3741871979,0.9488550482,0.1302648913,100,405,52,26,,60,,
96,13,0.1479175339,0.3314586219,0.9484520315,0.1214318533,61,147,62,27,,60,,
96,13,0.093375553,0.2137578589,0.9470329541,0.1378839938,71,158,63,23,,60,,
96,1,0.1417521064,0.3614957886,0.9471376771,0.1273904661,100,496,49,26,,60,,
96,20,0.1693325,0.3853186523,0.926847611,0.1533824624,97,282,53,23,,60,,
101,5,0.1144729843,0.1922328803,0.9660554258,0.1082294435,70,179,50,22,,60,,
101,4,0.1348446556,0.2738784981,0.9601240785,0.114413926,95,257,50,13,,60,,
101,2,0.1414253476,0.2192043947,0.9517353412,0.1254526732,96,224,52,18,,60,,
101,2,0.1415652672,0.2531193774,0.9785278712,0.08473021464,99,244,47,12,,60,,
101,2,0.1438194762,0.2455064892,0.9678401595,0.1153445133,99,206,50,21,,60,,
101,2,0.1501815881,0.2475129916,0.9499722919,0.1349032937,99,341,51,22,,60,,
101,2,0.1333698017,0.2208237013,0.9450643025,0.1378833549,97,213,50,19,,60,,
101,2,0.1654883812,0.2543806934,0.9615009669,0.1198913092,100,394,49,22,,60,,
101,5,0.1231145333,0.2064930508,0.9593929202,0.1087947813,99,258,50,16,,60,,
